name,teacher,school,student_num
AI for Academic Search （人工智能助力学术搜索）,唐杰 周园春 等,清华大学,639 人
邓公漫谈数据结构-「疾风计划」导师专属直播,邓俊辉,清华大学,3155 人
低时延网络挑战赛：从5G和边缘计算到互联网,崔勇,清华大学,370 人
“神威·太湖之光”超级计算机优化方法与应用简介,甘霖,清华大学,344 人
当微信邂逅NLP基础研究,李鹏,清华大学,484 人
走向以人为本的人工智能：利用人工智能提高人类决策能力,谭宸浩,科罗拉多大学波尔得分校,342 人
算法支撑的赛博智能经济,徐恪,清华大学,340 人
Code+程序设计大赛颁奖典礼,,,334 人
人工智能基础核心技术之事件检测,仝美涵,清华大学,560 人
教AI审合同——人工智能技术在法律领域的应用,张天扬,清华大学,404 人
计算机视觉,鲁鹏,北京邮电大学,324 人
为网络化系统设计智能可靠的优化算法,黄隆波,清华大学,3704 人
浅谈面试中的算法题,杨耀良 谢兴宇,清华大学,436 人
论道AI Open,,,319 人
基于神经网络建模的信息传播预测,杨成,清华大学,331 人
ICACHI 云论坛系列,任向实 付志勇 等,日本高知工科大学,649 人
国际超算赛事称霸指南,何家傲 陈晟祺,清华大学,305 人
Data Structures and Algorithms,王曙燕 王燕 等,西安邮电大学,303 人
EMNLP2020专场分享,李健铨 关健 等,天津大学,2826 人
深度学习框架的移动端优化,曾平 杨滔,北京旷视科技有限公司,366 人
Computer Fundamentals: Problem Solving Using Computational Think,李敏 高裴裴 等,南开大学,294 人
信息对抗技术专业方向设计,印茂伟,西南科技大学,292 人
机器阅读理解：算法与实践,朱晨光,微软,386 人
AI TIME CVPR 专场四,,,1467 人
信息检索与推荐系统,李琳,武汉理工大学,285 人
新冠疫情地图可视化的技术实践,殷达,清华大学,285 人
知识疫图——AI+大数据在新冠肺炎知识智能服务中的应用,张鹏,智谱·AI,284 人
基于图神经网络的事实验证,周界,清华大学,317 人
The 2nd TBSI Workshop on Learning Theory,,,282 人
算法训练营,邓俊辉,清华大学,273 人
Introduction to Artificial Intelligence,莫宏伟,哈尔滨工程大学,272 人
面向移动与边缘设备的人工智能系统,徐梦炜,北京大学,308 人
计算机基础及应用,张玉成 王天鑫 等,西京学院,268 人
高性能计算,,,1225 人
C语言程序设计,曹芝兰,湖北大学,262 人
AI TIME PHD - AAAI 专场二,,,1648 人
争相步入「情感计算」时代，你上车了吗？,陶建华 贾珈 等,中国科学院,363 人
AI TIME 走进厦门大学,,,2751 人
AI是否可以引领传染病诊疗的新范式？,,,1385 人
对话系统：过去、现在和未来,黄民烈,清华大学,240 人
Java Object Oriented Programming,单博炜,长安大学,239 人
深度学习训练营,胡晓林,学堂在线,233 人
Embedded Software Design,赖晓晨 刘辉 等,大连理工大学,226 人
滴滴语音技术,滴滴-科技生态与发展部,滴滴,289 人
“数据赋能”推动产业转型升级,王建民 刘江川 等,清华大学,325 人
AI TIME PHD - AAAI 专场四,,,1278 人
人工智能,杨鸿武 鲁小勇 等,西北师范大学,206 人
清华大学计算机系1996级创新创业论坛,,,220 人
时空大数据分析和挖掘实战,袁海涛,学堂在线,204 人
联邦智能和基于隐私保护的分布式机器学习,蔡超超 王昊昱,数牍科技,354 人
网络测量与管理,周禹 郑智隆 等,清华大学,447 人
非易失内存在分布式存储领域的应用,张凯,清华大学,268 人
商汤泰坦公开课模型量化专题,余锋伟 龚睿昊,商汤科技,215 人
解密旷视抗疫情AI体温产品——明骥,胡晨,清华大学,199 人
java程序设计,张青青 宁莉莉 等,咸阳职业技术学院,198 人
融合知识的预训练语言模型,张正彦,清华大学,195 人
